LatLong,nearest MRT,Count,travel time to RP in minutes
"1.36200453938712,103.853879910407",Ang Mo Kio,13,40
"1.37096635222625,103.838201940326",Ang Mo Kio,18,44
"1.38070883044887,103.835368226602",Yio Chu Kang,19,50
"1.3662010408294,103.857200967235",Ang Mo Kio,28,43
"1.38104135523576,103.835131742647",Yio Chu Kang,22,47
"1.37680678506745,103.842017962576",Yio Chu Kang,17,41
"1.36747901420817,103.855967139125",Ang Mo Kio,2,39
"1.36511907555698,103.841742483384",Ang Mo Kio,10,56
"1.37005501296043,103.85488055876",Ang Mo Kio,42,36
"1.37405846295585,103.854168170426",Ang Mo Kio,21,40
"1.36754924977907,103.836740628478",Ang Mo Kio,20,47
"1.36682360872342,103.83649123351",Ang Mo Kio,22,47
"1.36598198004505,103.840654039612",Ang Mo Kio,19,51
"1.37447378519738,103.854100515826",Ang Mo Kio,24,42
"1.36885444352138,103.837896404895",Ang Mo Kio,8,45
"1.3697435855576,103.856023138277",Ang Mo Kio,31,37
"1.38156171229824,103.84000226873",Yio Chu Kang,24,39
"1.36605027829032,103.854168309853",Ang Mo Kio,20,37
"1.38219867741921,103.841211533475",Yio Chu Kang,14,37
"1.36956344301912,103.844698910817",Ang Mo Kio,29,41
"1.37065487078854,103.834630215787",Ang Mo Kio,17,44
"1.36830996981351,103.853600305664",Ang Mo Kio,18,35
"1.369196965617,103.841666636086",Ang Mo Kio,20,46
"1.37071307985916,103.853497803014",Ang Mo Kio,18,34
"1.37329593649654,103.835475719134",Yio Chu Kang,20,43
"1.3613425564061,103.851698621454",Ang Mo Kio,29,42
"1.37061517595951,103.83596769452",Ang Mo Kio,20,42
"1.36243186402478,103.851030689651",Ang Mo Kio,29,40
"1.3716257020332,103.857736107527",Ang Mo Kio,31,41
"1.36708983179046,103.845660199054",Ang Mo Kio,29,37
"1.37138855070768,103.855953346739",Ang Mo Kio,17,38
"1.37400086510074,103.850139806283",Ang Mo Kio,21,35
"1.36314392666998,103.858118593427",Ang Mo Kio,18,46
"1.36266297827625,103.85651592319",Ang Mo Kio,23,44
"1.38010465081465,103.840408680468",Yio Chu Kang,10,38
"1.37365123866689,103.857022220393",Ang Mo Kio,8,42
"1.37101536386003,103.841800323712",Ang Mo Kio,24,44
"1.37020344042146,103.834687722549",Ang Mo Kio,12,44
"1.36409807919403,103.856694220704",Ang Mo Kio,8,42
"1.36711621129028,103.85713855795",Ang Mo Kio,16,46
"1.36582089504381,103.842847772078",Ang Mo Kio,13,47
"1.36628642816469,103.844994760928",Ang Mo Kio,8,39
"1.37939517687868,103.843763599411",Yio Chu Kang,31,34
"1.36661793708764,103.84786688518",Ang Mo Kio,19,35
"1.37183157010083,103.853670978083",Ang Mo Kio,65,40
"1.37175400663025,103.8538833087",Ang Mo Kio,63,40
"1.37026158388486,103.839467898898",Ang Mo Kio,14,45
"1.36899287777802,103.85276134968",Ang Mo Kio,17,33
"1.3734054063175,103.851134219635",Ang Mo Kio,12,35
"1.37147783065153,103.845868750998",Ang Mo Kio,6,37
"1.37207688864036,103.852786139342",Ang Mo Kio,53,39
"1.36482726202671,103.843839317974",Ang Mo Kio,29,42
"1.37845661566039,103.839292714848",Yio Chu Kang,6,42
"1.334484667124,103.937924710969",Bedok Reservoir,6,47
"1.33131021834565,103.92685391703",Bedok,21,43
