Mall,Longitude,Latitude
100 AM,103.8434883595,1.2746828148
313@Somerset,103.8376843504,1.3013851021
Aperia,103.8639295733,1.3108667282
Balestier Hill Shopping Centre,103.8437414385,1.3261630787
Bugis Cube,103.8556353392,1.2981408344
Bugis Junction,103.8560305419,1.2998092196
Bugis+,103.8552626792,1.3009025261
Capitol Piazza,103.8512619821,1.2930788476
Cathay Cineleisure Orchard,103.8364067531,1.3014926485
Clarke Quay Central,103.8466372564,1.2891031251
The Centrepoint,103.8397590234,1.301978369
City Square Mall,103.8566481199,1.311196033
City Gate Mall,103.8625131979,1.302401064
CityLink Mall,103.8541735014,1.2927777313
Duo,103.8581785552,1.2994049083
Far East Plaza,103.8339399635,1.307311126
Funan,103.8498750388,1.2911196403
Great World City,103.8319758654,1.2934759621
HDB Hub,103.8471283103,1.3328911387
Holland Village Shopping Mall,103.7953094818,1.3102706276
ION Orchard,103.8315921014,1.3040980623
Junction 8,103.8485156641,1.3501820034
Knightsbridge,103.8362839234,1.3029831226
Liat Towers,103.8307225812,1.3050872271
Lucky Plaza,103.8339419351,1.3044857911
Marina Bay Sands,103.8583927495,1.2824070431
The Shoppes at Marina Bay Sands,103.8589822827,1.2842349603
Marina Bay Link Mall,103.8547731476,1.2799212624
Marina Square,103.8577582681,1.2911172918
Millenia Walk,103.8593439689,1.2929650415
Mustafa Shopping Centre,103.8554680132,1.3100534073
Ngee Ann City,103.8346761247,1.3024241719
Orchard Central,103.8394347339,1.3008389084
Orchard Gateway,103.83944278,1.3004432528
Orchard Plaza,103.8329711301,1.3049500556
Midpoint Orchard,103.8386596529,1.3017731326
Palais Renaissance,103.8295880452,1.3066548454
People's Park Centre,103.8439298203,1.2857577424
People's Park Complex,103.8425999202,1.2848558843
Plaza Singapura,103.8450727432,1.3008341303
PoMo,103.8492586844,1.3002485294
Raffles City,103.8533318271,1.2940764448
Scotts Square,103.8330833819,1.3057629244
Shaw House and Centre,103.8318150114,1.3064540898
Sim Lim Square,103.8530318695,1.3029065877
Singapore Shopping Centre,103.8441113181,1.2981526539
The South Beach,103.8562762421,1.2949880439
Square 2,103.8442270886,1.3206838632
Sunshine Plaza,103.8508923235,1.300394338
Suntec City,103.8597243618,1.2946467453
Tanglin Mall,103.8238527948,1.304843442
Tanjong Pagar Centre,103.8431670232,1.2766146476
Tekka Centre,103.8506099855,1.3061777305
The Adelphi,103.8511843387,1.2911850366
The Paragon,103.8358575455,1.3038723088
Tiong Bahru Plaza,103.8275507714,1.2863317719
The Poiz,103.8683716811,1.3314508661
Thomson Plaza,103.8303281029,1.3543252421
United Square,103.8440031305,1.3172436296
Thomson V,103.8356284454,1.3534262663
Velocity@Novena Square,103.8441913531,1.319295425
Wheelock Place,103.8306420276,1.3046762873
Wisma Atria,103.8331895928,1.3036989071
Zhongshan Mall,103.8465543777,1.3269450446
Bedok Mall,103.9292676546,1.3247720744
Century Square,103.9433844887,1.3522654288
Our Tampines Hub,103.9404081353,1.3531335983
Changi City Point,103.9629817838,1.3341498349
Downtown East,103.9547735929,1.3777758421
Djitsun Mall Bedok,103.9295544956,1.3261197033
