Name,Longitude,Latitude
Admiralty Primary School,103.8002137,1.442549639
Ahmad Ibrahim Primary School,103.8329424,1.433152715
Ai Tong School,103.8330203,1.360583434
Alexandra Primary School,103.8244247,1.291334392
Anchor Green Primary School,103.8871654,1.390369987
Anderson Primary School,103.8413921,1.384264294
Anglo-Chinese School (Junior),103.8409503,1.309350413
Anglo-Chinese School (Primary),103.8356097,1.318370545
Angsana Primary School,103.9389409,1.363605906
Ang Mo Kio Primary School,103.8396309,1.369321766
Balestier Hill Primary School,103.844466,1.325727511
Beacon Primary School,103.773632,1.383949362
Bedok Green Primary School,103.937879,1.323445933
Bendemeer Primary School,103.8654042,1.321812508
Blangah Rise Primary School,103.8086285,1.276120479
Boon Lay Garden Primary School,103.7132809,1.343178538
Bukit Panjang Primary School,103.7693749,1.373621793
Bukit Timah Primary School,103.7668553,1.337749862
Bukit View Primary School,103.7536664,1.345860548
Canberra Primary School,103.8158589,1.451250244
Canossa Catholic Primary School,103.882228,1.326644245
Cantonment Primary School,103.8399626,1.275472526
Casuarina Primary School,103.9570203,1.372460639
Catholic High School (Primary),103.8442107,1.354388784
Cedar Primary School,103.8756201,1.335660844
Changkat Primary School,103.9520801,1.34023164
CHIJ (Katong) Primary,103.9111056,1.306485353
CHIJ (Kellock),103.827954,1.274740489
CHIJ Our Lady of Good Counsel,103.8641521,1.357994949
CHIJ Our Lady of the Nativity,103.897769,1.373574097
CHIJ Our Lady Queen of Peace,103.7687393,1.366460141
CHIJ Primary (Toa Payoh),103.8418473,1.332752637
CHIJ St. Nicholas Girls' School,103.8342533,1.373476879
Chongfu School,103.8390707,1.438462304
Chongzheng Primary School,103.9513173,1.350611306
Chua Chu Kang Primary School,103.7418329,1.377758901
Clementi Primary School,103.7631445,1.315063218
Compassvale Primary School,103.8978122,1.394445296
Concord Primary School,103.7362254,1.380008062
Coral Primary School,103.9509801,1.368139147
Corporation Primary School,103.7075937,1.350997799
Damai Primary School,103.9212702,1.335461068
Dazhong Primary School,103.7484721,1.359179745
De La Salle School,103.7432018,1.39470783
East Spring Primary School,103.9616768,1.352684007
East View Primary School,103.9384749,1.347770113
Edgefield Primary School,103.9078476,1.400091395
Elias Park Primary School,103.9451281,1.374512694
Endeavour Primary School,103.8174362,1.454038375
Eunos Primary School,103.9045413,1.324476299
Evergreen Primary School,103.7945778,1.444153328
Fairfield Methodist School (Primary),103.7854383,1.300540825
Farrer Park Primary School,103.8507664,1.312368677
Fengshan Primary School,103.9317103,1.329805988
Fernvale Primary School,103.8744455,1.39030228
